cohesion,syntax,vocabulary,phraseology,grammar,conventions
4.0,3.5,3.5,3.5,3.5,3.0
5.0,3.5,3.5,3.5,3.0,3.0
4.5,4.0,3.5,3.0,3.0,3.0
4.5,3.5,3.5,3.5,3.0,3.0
4.0,4.0,3.5,3.5,3.5,3.0
4.5,3.5,3.5,3.5,3.0,3.0
4.5,3.5,3.5,3.0,3.0,3.0
4.0,4.0,3.5,3.5,3.0,3.0
4.5,3.5,3.5,3.5,3.0,3.0
5.0,3.5,3.5,3.0,3.0,3.0
5.0,3.5,3.5,3.0,3.0,3.0
4.5,3.5,3.5,3.5,3.0,3.0
4.0,3.5,3.5,3.5,3.0,3.0
4.0,3.5,3.5,3.5,3.0,3.0
4.5,4.0,3.5,3.0,3.0,3.0
4.5,4.0,3.5,3.0,3.0,3.0
4.0,3.5,3.5,3.5,3.0,3.0
4.5,3.5,3.5,3.0,3.0,3.0
5.0,3.5,3.0,3.0,3.0,3.0
4.0,3.5,3.5,3.0,3.0,3.0
4.5,3.5,3.5,3.0,3.0,3.0
4.0,3.5,3.5,3.5,3.5,3.0
4.0,4.0,3.5,3.0,3.0,3.0
4.0,3.5,3.5,3.5,3.5,3.0
4.0,3.5,3.5,3.5,3.0,3.0
